gene_name	DDdenovo_syn	DDdenovo_mis	DDdenovo_stopgain	gnomAD_syn	gnomAD_mis	gnomAD_stopgain
SDR9C7	1	1	0	32	93	0
OR4F29	0	0	0	0	0	0
PMAIP1	0	0	0	6	11	0
ATRIP	0	3	0	74	137	1
USHBP1	1	2	0	67	181	11
FCRL3	0	2	0	72	160	7
TRIM26	1	2	0	0	0	0
DDAH2	0	0	0	0	0	0
FAM170A	1	0	0	21	77	3
ADAMTSL4	1	5	0	120	311	12
MED15	0	4	0	102	125	1
ZBTB8OS	0	1	0	13	27	2
SHISA5	0	1	0	39	54	4
UMAD1	0	0	0	15	28	0
SNX25	0	1	0	79	192	2
PAFAH2	1	2	0	32	105	5
PGPEP1	0	1	0	31	48	2
ERI2	1	1	0	33	112	7
E2F6	0	2	0	26	44	0
SMARCD1	0	2	1	40	54	0
PSMA2	0	1	0	21	16	0
ELOA	0	1	0	64	133	3
CA2	0	0	0	19	40	1
TBC1D3L	0	0	0	0	0	0
TP53TG3C	0	0	0	0	0	0
POU5F1B	0	0	0	41	86	5
SLC25A35	1	0	0	22	67	6
ZNF670	0	0	0	22	79	3
OOSP4A	0	0	0	19	34	2
H2AJ	0	0	0	16	20	0
ATE1	0	0	0	54	82	2
MGME1	1	1	0	23	66	5
PET117	0	0	0	4	18	1
AMDHD2	0	1	0	89	101	1
SPRN	0	0	0	51	73	0
FOLR3	0	1	0	42	66	2
C1orf43	0	0	0	23	43	1
USP17L12	0	0	0	0	0	0
STEAP4	0	0	0	31	77	9
TMCO4	0	2	0	81	139	8
TMEM41B	0	1	0	21	46	0
SMAD7	1	2	0	77	87	1
RFLNA	1	1	0	29	65	0
JAML	0	2	0	32	85	2
YAF2	1	0	0	15	18	0
WDR64	2	2	0	76	221	14
PEPD	0	2	0	79	168	6
LDLRAD4	0	0	0	35	62	0
UCP2	0	0	0	22	97	6
PATE4	0	0	0	4	17	3
ILDR2	0	0	0	65	125	2
GNL3	0	1	0	37	85	4
TMPRSS13	0	3	0	63	112	4
BTBD6	0	0	0	90	107	4
RND2	0	2	0	14	55	4
RILP	1	1	0	0	0	0
COASY	1	2	0	53	126	4
CHRNE	2	0	0	97	152	3
RIMS3	0	1	0	31	69	1
BCAS1	0	0	0	63	133	3
MVB12A	0	0	0	27	68	1
SLC22A25	0	0	0	56	128	6
CDH5	1	1	0	100	186	5
PLPP1	1	1	0	26	45	0
CTTNBP2NL	1	0	0	52	103	2
USP33	0	1	0	61	104	1
AP4B1	0	0	0	64	145	6
IL36RN	1	0	0	19	34	2
USP17L24	0	0	0	0	0	0
SLC6A5	2	2	2	89	164	8
DCP1B	0	0	0	45	126	8
NCAPG2	0	5	1	72	185	5
CRYBB2	0	0	0	18	42	1
FAM13A	1	2	0	74	178	5
P2RY14	0	0	0	35	69	3
ORC3	1	2	0	53	136	5
RALGAPA2	0	4	1	164	340	15
POU2F2	1	4	0	66	97	0
UFSP2	0	0	0	29	66	1
FIG4	0	1	0	74	150	9
ADAR	0	5	0	114	177	2
APBB1IP	1	1	0	66	113	1
TNNI1	0	0	1	24	34	0
TEKT3	1	1	0	41	119	6
HSD3B7	1	0	0	43	98	3
ORAI1	0	2	0	41	87	2
ARHGAP24	0	4	0	57	150	2
DUS1L	2	3	1	77	115	0
SMIM43	0	0	0	7	11	0
ADIRF	0	0	0	5	17	0
SNRNP27	0	0	0	8	16	2
BCAM	2	4	0	110	193	5
PPME1	1	1	0	15	52	1
FSD1	0	6	0	68	111	0
FETUB	0	0	0	35	88	3
FNDC11	2	1	0	50	94	3
LHX3	1	0	0	53	107	0
ADAM11	2	1	0	90	124	4
SLC35G4	0	0	0	43	82	4
SUSD4	0	5	0	61	103	4
BOLL	0	1	0	14	32	1
TCN1	0	0	0	47	83	6
EFNA5	0	1	0	26	28	0
KCNJ15	0	1	0	38	65	2
CFAP298-TCP10L	1	0	0	40	89	6
HEXB	0	1	0	43	100	4
PLPP3	0	2	0	23	56	0
NECTIN1	1	1	0	61	123	0
PRSS50	0	2	0	48	92	2
MMP27	0	0	0	50	111	8
NRM	0	0	0	0	0	0
MMP26	1	1	0	22	48	2
FAM240A	0	0	0	6	30	2
CYP26A1	1	3	0	51	98	3
RNF169	0	1	2	68	159	3
EDN2	0	2	0	23	40	2
MYOF	2	6	0	190	412	29
AANAT	0	1	0	33	67	0
PF4V1	0	0	0	6	22	0
CDK5R1	1	0	0	29	32	0
AGPAT5	1	1	0	54	97	4
ENSG00000289282	0	0	0	0	0	0
BUB1B-PAK6	0	0	0	0	0	0
ANXA9	1	1	1	25	75	5
SPX	0	0	0	8	21	0
CCDC169-SOHLH2	0	1	0	41	63	3
VPS41	1	0	0	64	138	2
FLRT1	2	2	0	99	157	2
SAXO2	0	0	0	36	106	5
L3MBTL1	0	2	0	91	154	9
OR6Y1	0	2	0	22	93	2
FASTKD3	0	1	0	51	99	7
ZFP2	0	1	0	23	84	10
FAM53B	0	1	0	55	95	0
GATM	1	2	0	34	50	4
CBLB	4	1	0	94	169	3
METTL21EP	0	0	0	14	46	4
ISM1	0	0	0	45	97	1
MVB12B	0	2	0	38	51	0
DEFB123	0	0	0	5	13	1
WASHC4	0	1	0	76	199	4
CSTF3	0	2	0	38	51	4
IQCD	0	0	0	44	86	8
JPH4	0	0	0	72	94	0
ENSG00000286132	0	0	0	0	0	0
OR6B2	0	0	0	33	63	1
