gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
CAPN10	CAPN10	ENSG00000142330	2	6.92E-13	0.999	0	2	0	0	3	7	7	15	7	9
B3GALNT1	B3GALNT1	ENSG00000169255	3	0.002209	0.999	0	1	0	0	0	1	6	9	6	9
USB1	USB1	ENSG00000103005	16	0.000687	0.999	0	0	0	0	0	0	8	12	3	6
TAF1A	TAF1A	ENSG00000143498	1	1.24E-09	0.999	1	0	0	0	1	3	9	4	1	2
NRAP	NRAP	ENSG00000197893	10	3.26E-50	0.999	3	6	0	0	0	0	61	87	14	34
RAB34	RAB34	ENSG00000109113	17	5.43E-07	1	0	0	0	0	1	1	5	4	4	6
FAM71F2	FAM71F2	ENSG00000205085	7	0.021409	1	1	0	0	0	0	0	6	8	1	5
DNAAF1	DNAAF1	ENSG00000154099	16	8.47E-12	1	2	6	0	0	0	0	26	51	11	24
DNAJC18	DNAJC18	ENSG00000170464	5	4.82E-08	1	0	0	0	0	2	6	10	7	3	4
SLC10A7	SLC10A7	ENSG00000120519	4	1.98E-05	1	1	0	0	0	0	2	1	6	3	0
OR2A7	OR2A7	ENSG00000243896	7	0.36959	1	3	0	0	0	0	0	2	3	1	1
SLCO4A1	SLCO4A1	ENSG00000101187	20	1.03E-10	1	1	4	0	0	0	1	14	17	5	6
GAP43	GAP43	ENSG00000172020	3	0.021461	1	0	0	0	0	0	0	5	8	1	5
TMEM53	TMEM53	ENSG00000126106	1	0.021392	1	0	0	0	0	3	3	3	3	2	0
ZNF75A	ZNF75A	ENSG00000162086	16	0.0021966	1	0	0	0	0	0	0	5	12	4	5
ARL2	ARL2	ENSG00000213465	11	0.021417	1	0	0	0	0	0	0	2	2	0	1
NAT6	NAA80	ENSG00000243477	3	0.16865	1	0	0	0	0	0	0	2	1	0	0
ZNF3	ZNF3	ENSG00000166526	7	1.98E-05	1	1	1	0	0	1	0	3	7	2	3
SPAG7	SPAG7	ENSG00000091640	17	0.0006849	1	0	0	0	0	0	0	2	5	6	8
SPSB2	SPSB2	ENSG00000111671	12	0.02137	1.001	3	2	0	0	0	0	5	9	2	6
ACOT8	ACOT8	ENSG00000101473	20	5.97E-06	1.001	1	2	0	0	0	0	11	4	1	1
ZNF615	ZNF615	ENSG00000197619	19	8.38E-12	1.001	1	4	0	0	0	0	10	22	8	5
BPGM	BPGM	ENSG00000172331	7	0.021313	1.001	0	0	0	0	5	6	3	7	1	5
LY6H	LY6H	ENSG00000176956	8	0.16827	1.001	0	0	0	0	2	1	1	2	0	3
SH3BGR	SH3BGR	ENSG00000185437	21	0.0021831	1.001	0	1	0	0	0	0	3	15	2	5
C9orf114	SPOUT1	ENSG00000198917	9	4.13E-09	1.001	0	2	0	0	3	5	3	3	7	10
SRP19	SRP19	ENSG00000153037	5	0.0069014	1.001	0	0	0	0	0	0	4	3	2	1
TYSND1	TYSND1	ENSG00000156521	10	0.00068197	1.001	0	0	0	0	0	0	5	8	1	3
GSAP	GSAP	ENSG00000186088	7	2.55E-23	1.001	1	2	0	0	0	0	15	31	8	14
PLEKHG6	PLEKHG6	ENSG00000008323	12	3.72E-19	1.001	3	1	0	0	0	0	12	13	3	18
ZNF804B	ZNF804B	ENSG00000182348	7	5.35E-18	1.001	1	4	0	0	0	0	28	41	17	23
ACER1	ACER1	ENSG00000167769	19	0.0021705	1.002	1	3	0	0	0	0	5	11	1	4
SLCO6A1	SLCO6A1	ENSG00000205359	5	2.88E-11	1.002	0	1	0	0	0	0	6	14	1	13
SIGIRR	SIGIRR	ENSG00000185187	11	5.93E-06	1.002	0	0	0	0	0	0	2	7	2	6
FBXW9	FBXW9	ENSG00000132004	19	4.09E-09	1.002	3	1	0	0	0	5	4	0	6	4
CORO2A	CORO2A	ENSG00000106789	9	3.45E-10	1.002	1	1	0	0	1	0	13	20	9	13
CRYBA1	CRYBA1	ENSG00000108255	17	6.41E-05	1.002	0	1	0	0	3	2	0	4	2	3
CNDP1	CNDP1	ENSG00000150656	18	1.18E-09	1.002	1	6	0	0	0	0	19	30	6	11
CXCL10	CXCL10	ENSG00000169245	4	0.36865	1.002	0	0	0	0	0	0	1	5	1	1
TC2N	TC2N	ENSG00000165929	14	1.19E-09	1.002	1	2	0	0	0	0	10	13	2	3
RGS20	RGS20	ENSG00000147509	8	6.40E-05	1.002	0	0	0	0	2	2	2	0	0	6
PRSS23	PRSS23	ENSG00000150687	11	1.94E-05	1.003	2	0	0	0	0	0	7	17	3	6
C16orf11	PRR35	ENSG00000161992	16	0.02116	1.003	0	0	0	0	0	0	1	4	1	3
UBALD2	UBALD2	ENSG00000185262	17	0.3682	1.003	0	0	0	1	0	0	0	0	0	0
CLMP	CLMP	ENSG00000166250	11	1.57E-07	1.003	1	1	0	0	3	4	3	8	1	2
C2orf16	C2orf16	ENSG00000221843	2	1.34E-14	1.003	4	6	0	0	0	0	57	61	17	24
SMIM23	SMIM23	ENSG00000185662	5	0.0068348	1.003	0	0	0	0	0	0	0	0	0	0
CCDC147	CFAP58	ENSG00000120051	10	9.43E-23	1.003	2	4	0	0	0	0	20	34	6	13
NKX6-1	NKX6-1	ENSG00000163623	4	0.062705	1.003	1	0	0	0	1	2	0	5	2	3
CAB39L	CAB39L	ENSG00000102547	13	6.39E-05	1.003	2	4	0	0	0	0	5	2	5	8
UTP3	UTP3	ENSG00000132467	4	1.94E-05	1.003	0	3	0	0	2	6	4	9	1	8
ZNF235	ZNF235	ENSG00000159917	19	3.38E-10	1.004	0	3	0	0	0	0	15	22	4	4
ELTD1	ADGRL4	ENSG00000162618	1	2.78E-11	1.004	0	2	0	0	0	0	8	22	6	10
ATP6V0A4	ATP6V0A4	ENSG00000105929	7	2.15E-20	1.004	1	4	0	0	0	4	32	31	8	11
CBLN4	CBLN4	ENSG00000054803	20	0.16726	1.004	0	0	3	0	3	4	0	0	3	4
CD59	CD59	ENSG00000085063	11	0.60568	1.004	0	0	0	0	0	0	3	7	3	2
RXFP2	RXFP2	ENSG00000133105	13	9.90E-16	1.004	1	2	0	0	0	0	17	9	6	7
PQLC2	SLC66A1	ENSG00000040487	1	6.35E-05	1.004	0	3	0	0	1	5	1	8	5	8
FAM118A	FAM118A	ENSG00000100376	22	6.32E-05	1.004	0	0	0	0	0	0	10	17	4	6
LIPK	LIPK	ENSG00000204021	10	1.76E-06	1.004	0	3	0	0	0	0	1	6	2	0
C9orf78	C9orf78	ENSG00000136819	9	1.92E-05	1.004	0	3	0	0	4	3	6	6	2	5
HIST1H3J	H3C12	ENSG00000197153	6	0.60556	1.004	1	0	0	2	1	0	0	0	0	4
PIK3R3	PIK3R3	ENSG00000117461	1	3.36E-10	1.004	2	5	0	0	0	0	4	11	3	5
KLKB1	KLKB1	ENSG00000164344	4	6.29E-13	1.004	0	3	0	0	0	0	12	18	8	6
DDX60L	DDX60L	ENSG00000181381	4	1.07E-38	1.005	0	4	0	0	0	0	19	50	7	19
C4orf21	ZGRF1	ENSG00000138658	4	2.16E-42	1.005	2	1	0	0	0	0	20	73	20	20
HHLA2	HHLA2	ENSG00000114455	3	1.73E-06	1.005	1	0	0	0	0	0	12	15	1	6
PPA1	PPA1	ENSG00000180817	10	1.92E-05	1.005	0	2	0	0	0	0	3	5	0	1
YDJC	YDJC	ENSG00000161179	22	0.062374	1.005	0	0	0	0	0	0	0	0	1	2
TMC4	TMC4	ENSG00000167608	19	1.72E-13	1.005	1	2	0	0	2	6	5	11	3	10
COL21A1	COL21A1	ENSG00000124749	6	5.23E-24	1.005	1	6	0	0	0	0	20	19	4	4
SLC9B1	SLC9B1	ENSG00000164037	4	5.17E-07	1.005	0	0	0	0	0	0	1	3	0	1
DPYD	DPYD	ENSG00000188641	1	3.37E-22	1.005	5	5	0	0	0	0	24	35	15	20
P4HTM	P4HTM	ENSG00000178467	3	3.92E-09	1.005	0	0	1	1	3	2	2	10	8	3
KBTBD11	KBTBD11	ENSG00000176595	8	0.062354	1.005	0	0	0	0	0	0	0	0	0	0
ZNF416	ZNF416	ENSG00000083817	19	0.36706	1.005	3	1	0	0	3	3	15	15	8	2
TTC29	TTC29	ENSG00000137473	4	1.34E-08	1.005	0	0	0	0	0	0	5	9	5	6
ZXDC	ZXDC	ENSG00000070476	3	1.14E-09	1.005	1	2	2	2	1	1	7	15	9	10
DBH	DBH	ENSG00000123454	9	3.34E-10	1.005	0	1	0	0	0	0	22	43	6	11
BTC	BTC	ENSG00000174808	4	0.062276	1.005	0	0	0	0	0	0	2	7	0	1
TMPO	TMPO	ENSG00000120802	12	1.55E-07	1.005	2	3	0	0	0	0	22	27	6	13
CDC6	CDC6	ENSG00000094804	17	1.15E-09	1.005	1	0	0	0	0	2	13	23	1	7
RSL1D1	RSL1D1	ENSG00000171490	16	5.17E-07	1.005	0	0	0	0	0	0	14	29	4	13
C16orf54	C16orf54	ENSG00000185905	16	0.36686	1.006	0	0	0	0	0	0	0	0	0	0
ACTR5	ACTR5	ENSG00000101442	20	1.14E-09	1.006	0	0	0	0	0	0	9	19	9	8
C6orf211	ARMT1	ENSG00000146476	6	5.12E-07	1.006	0	1	0	0	0	0	3	4	2	3
PPP1R3A	PPP1R3A	ENSG00000154415	7	9.31E-16	1.006	2	4	0	0	0	0	22	37	14	22
C10orf129	ACSM6	ENSG00000173124	10	1.53E-07	1.006	0	0	0	0	0	0	2	12	2	4
PALB2	PALB2	ENSG00000083093	16	3.04E-19	1.006	0	1	0	0	0	0	24	45	12	20
BMF	BMF	ENSG00000104081	15	0.006758	1.006	0	0	0	0	0	0	10	6	2	5
NUDCD1	NUDCD1	ENSG00000120526	8	2.67E-11	1.006	1	2	0	0	0	0	9	23	1	0
FAM71C	FAM71C	ENSG00000180219	12	0.16671	1.006	0	0	0	0	0	0	7	10	2	7
CCBE1	CCBE1	ENSG00000183287	18	1.53E-07	1.006	0	3	0	0	0	0	3	17	7	5
AIM1	CRYBG1	ENSG00000112297	6	3.51E-33	1.006	0	7	0	0	0	0	21	45	7	24
DIS3	DIS3	ENSG00000083520	13	1.27E-21	1.006	1	2	0	0	0	0	12	28	6	6
TMEM209	TMEM209	ENSG00000146842	7	6.05E-13	1.006	0	1	0	0	0	0	12	23	5	7
PLA2G4C	PLA2G4C	ENSG00000105499	19	1.68E-13	1.006	0	1	0	0	0	0	5	23	1	13
FAM175A	ABRAXAS1	ENSG00000163322	4	5.07E-07	1.007	1	1	0	0	0	0	3	15	3	6
ADCK3	COQ8A	ENSG00000163050	1	9.29E-11	1.007	3	6	0	0	0	0	22	42	8	10
C20orf196	SHLD1	ENSG00000171984	20	0.16633	1.007	1	2	0	0	0	0	7	17	1	1
BLZF1	BLZF1	ENSG00000117475	1	5.09E-07	1.007	2	2	0	0	0	0	4	14	2	3
FKBP3	FKBP3	ENSG00000100442	14	0.00066025	1.007	0	2	0	0	0	0	0	3	1	3
TTC22	TTC22	ENSG00000006555	1	1.71E-06	1.007	1	1	0	0	0	0	1	5	1	0
ESR2	ESR2	ENSG00000140009	14	4.45E-08	1.007	0	0	0	0	0	0	7	30	5	4
ZNF614	ZNF614	ENSG00000142556	19	1.51E-07	1.007	3	3	0	0	0	0	13	19	3	7
ZPLD1	ZPLD1	ENSG00000170044	3	4.45E-08	1.007	0	1	0	0	0	0	10	21	1	4
HACL1	HACL1	ENSG00000131373	3	7.48E-12	1.007	1	2	0	0	0	0	8	10	4	7
NKIRAS2	NKIRAS2	ENSG00000168256	17	0.0067229	1.007	1	0	0	0	6	3	4	8	2	2
GEMIN4	GEMIN4	ENSG00000179409	17	5.90E-13	1.007	2	5	0	0	0	0	29	43	9	22
C16orf80	CFAP20	ENSG00000070761	16	0.00211	1.008	0	2	4	5	2	4	0	0	2	8
MEIS3	MEIS3	ENSG00000105419	19	3.80E-09	1.008	0	1	0	0	0	0	3	10	0	1
BSCL2	BSCL2	ENSG00000168000	11	1.10E-09	1.008	1	0	0	0	0	0	9	21	5	7
TPD52L2	TPD52L2	ENSG00000101150	20	0.00020188	1.008	0	1	0	0	0	0	2	8	2	5
FGL2	FGL2	ENSG00000127951	7	6.15E-05	1.008	3	1	0	0	0	0	17	21	1	3
RASSF2	RASSF2	ENSG00000101265	20	5.06E-07	1.008	0	0	0	0	2	7	4	3	1	2
LAMB4	LAMB4	ENSG00000091128	7	1.61E-42	1.008	6	13	0	0	0	0	38	73	11	29
ECE2	ECE2	ENSG00000145194	3	1.18E-21	1.008	1	5	0	0	0	1	27	34	12	26
KCTD12	KCTD12	ENSG00000178695	13	0.061693	1.008	0	0	1	2	0	0	0	0	2	1
MTFMT	MTFMT	ENSG00000103707	15	1.50E-07	1.008	0	1	0	0	0	0	6	10	3	4
KCNN4	KCNN4	ENSG00000104783	19	5.03E-07	1.008	0	4	0	0	5	9	4	9	3	2
MRPL33	MRPL33	ENSG00000243147	2	0.3655	1.009	0	0	0	0	0	0	0	2	1	5
EMC1	EMC1	ENSG00000127463	1	6.73E-26	1.009	2	8	0	0	7	9	25	30	15	14
PTF1A	PTF1A	ENSG00000168267	10	0.16565	1.009	1	0	0	0	0	0	0	1	0	0
SCEL	SCEL	ENSG00000136155	13	4.58E-21	1.009	0	4	0	0	0	0	14	15	3	7
GSG2	HASPIN	ENSG00000177602	17	4.99E-07	1.009	0	2	0	0	9	2	7	13	4	12
HARBI1	HARBI1	ENSG00000180423	11	0.00064751	1.01	1	3	0	0	0	0	7	11	2	4
CREB3	CREB3	ENSG00000107175	9	1.85E-05	1.01	2	2	0	0	0	0	6	15	4	3
CX3CR1	CX3CR1	ENSG00000168329	3	0.061371	1.01	0	0	0	0	2	1	9	14	3	7
NHLRC3	NHLRC3	ENSG00000188811	13	1.85E-05	1.01	1	1	0	0	0	0	6	13	3	2
PWP1	PWP1	ENSG00000136045	12	1.99E-12	1.01	1	6	0	0	2	3	4	5	7	14
RPS20	RPS20	ENSG00000008988	8	0.020686	1.01	0	0	0	0	1	1	0	0	5	3
F11R	F11R	ENSG00000158769	1	1.85E-05	1.01	0	0	0	0	0	0	4	11	5	1
LEPREL2	P3H3	ENSG00000110811	12	7.11E-12	1.01	1	2	0	0	0	0	2	9	2	3
SYTL2	SYTL2	ENSG00000137501	11	4.26E-21	1.01	2	2	0	0	0	0	40	70	19	25
SLC45A2	SLC45A2	ENSG00000164175	5	1.66E-06	1.01	2	1	0	0	0	0	13	30	10	6
NEIL1	NEIL1	ENSG00000140398	15	4.96E-07	1.01	1	3	0	0	0	0	14	18	4	5
MSX1	MSX1	ENSG00000163132	4	0.16517	1.01	0	0	0	0	0	1	1	0	1	4
NBN	NBN	ENSG00000104320	8	2.18E-16	1.01	1	4	0	0	0	0	12	25	10	13
SELL	SELL	ENSG00000188404	1	4.96E-07	1.01	1	1	0	0	0	0	8	5	1	0
POMGNT2	POMGNT2	ENSG00000144647	3	5.56E-06	1.01	4	2	0	0	0	11	15	28	11	13
CRIP3	CRIP3	ENSG00000146215	6	0.00064839	1.01	0	2	0	0	0	0	4	5	1	2
FXYD5	FXYD5	ENSG00000089327	19	0.0020871	1.01	0	0	0	0	0	0	1	2	4	3
AHNAK2	AHNAK2	ENSG00000185567	14	0.00064799	1.01	3	2	0	0	0	0	73	78	33	35
G6PC	G6PC	ENSG00000131482	17	1.84E-05	1.01	1	3	0	0	0	0	10	14	6	6
COQ9	COQ9	ENSG00000088682	16	5.53E-06	1.011	0	0	0	0	0	0	10	17	4	9
RP11-514O12.4	AL159163.1	ENSG00000249141	6	0.00064483	1.011	0	0	0	0	1	2	2	2	0	0
MAN2B2	MAN2B2	ENSG00000013288	4	6.56E-23	1.011	1	3	0	0	0	0	24	43	9	11
CYP51A1	CYP51A1	ENSG00000001630	7	1.46E-07	1.011	1	1	0	0	0	0	12	12	1	5
CTSH	CTSH	ENSG00000103811	15	1.25E-08	1.011	2	0	0	0	0	0	4	19	7	3
CACNA2D4	CACNA2D4	ENSG00000151062	12	1.49E-34	1.011	5	1	0	0	0	0	21	42	13	16
CTC-534A2.2	SHLD3	ENSG00000253251	5	0.020609	1.011	0	0	0	0	0	0	0	0	0	0
ARHGAP19-SLIT1	ARHGAP19-SLIT1	ENSG00000269891	10	6.98E-12	1.011	0	0	0	0	0	0	0	0	0	0
ATP8B3	ATP8B3	ENSG00000130270	19	1.47E-26	1.011	0	2	0	0	0	0	11	36	5	21
SNRNP27	SNRNP27	ENSG00000124380	2	0.00019763	1.012	3	1	1	0	1	4	0	1	1	4
UNC50	UNC50	ENSG00000115446	2	0.00019753	1.012	0	0	0	0	6	2	2	4	1	1
GHSR	GHSR	ENSG00000121853	3	0.0065825	1.012	5	0	4	0	4	0	1	5	4	8
POTEF	POTEF	ENSG00000196604	2	5.45E-06	1.012	0	0	0	0	0	0	2	1	0	0
STAC	STAC	ENSG00000144681	3	1.44E-07	1.012	1	1	0	0	0	0	13	23	2	13
LOXHD1	LOXHD1	ENSG00000167210	18	5.59E-26	1.012	0	0	0	0	0	0	0	0	0	0
POLR1D	POLR1D	ENSG00000186184	13	0.36357	1.013	0	0	0	0	0	0	2	7	1	1
DNTT	DNTT	ENSG00000107447	10	2.95E-10	1.013	0	3	0	0	0	0	16	29	7	14
LIMD2	LIMD2	ENSG00000136490	17	0.16402	1.013	0	1	0	0	2	1	0	0	0	0
TRIM5	TRIM5	ENSG00000132256	11	5.97E-05	1.013	0	1	0	0	0	0	12	23	1	7
COL6A6	COL6A6	ENSG00000206384	3	8.45E-46	1.013	13	4	0	0	0	0	70	77	17	22
GSTM1	GSTM1	ENSG00000134184	1	0.0020641	1.013	0	0	0	0	0	0	0	0	0	0
GALNS	GALNS	ENSG00000141012	16	2.96E-10	1.013	1	5	0	0	0	0	3	21	3	6
SLC7A2	SLC7A2	ENSG00000003989	8	2.34E-11	1.014	0	2	0	0	0	0	12	42	8	21
UBQLN3	UBQLN3	ENSG00000175520	11	1.80E-05	1.014	1	0	0	0	0	0	18	23	7	20
SCN10A	SCN10A	ENSG00000185313	3	9.95E-38	1.014	12	15	0	0	0	0	68	103	21	37
TMPRSS4	TMPRSS4	ENSG00000137648	11	1.21E-08	1.014	0	2	0	0	0	0	6	20	7	9
SLC9A8	SLC9A8	ENSG00000197818	20	2.91E-10	1.014	1	4	0	0	2	6	5	14	7	10
SFI1	SFI1	ENSG00000198089	22	5.94E-44	1.014	1	1	0	0	0	0	24	38	6	9
FAM161A	FAM161A	ENSG00000170264	2	5.10E-13	1.014	1	0	0	0	0	0	17	36	4	6
RP11-758M4.1	MIR2052HG	ENSG00000254349	8	0.16336	1.015	0	0	0	0	0	0	0	0	0	0
HMCN2	HMCN2	ENSG00000148357	9	1.80E-12	1.015	0	0	0	0	0	0	0	0	0	0
EPB41L4A	EPB41L4A	ENSG00000129595	5	3.51E-21	1.015	1	0	0	0	0	0	28	22	3	8
PEX13	PEX13	ENSG00000162928	2	5.90E-05	1.015	1	1	0	0	0	0	12	17	1	6
PMS1	PMS1	ENSG00000064933	2	1.32E-17	1.015	1	2	0	0	0	0	15	31	4	6
SOSTDC1	SOSTDC1	ENSG00000171243	7	0.16334	1.015	0	1	0	0	1	3	1	5	1	1
EFCAB3	EFCAB3	ENSG00000172421	17	3.48E-09	1.015	1	0	0	0	0	0	5	18	1	5
ZNF286B	ZNF286B	ENSG00000249459	17	5.34E-06	1.015	1	2	0	0	2	2	9	5	2	5
TRMT61B	TRMT61B	ENSG00000171103	2	4.11E-08	1.015	2	2	0	0	0	0	11	11	6	6
RIMKLA	RIMKLA	ENSG00000177181	1	0.00063057	1.015	0	0	0	0	6	3	6	17	6	5
TLR10	TLR10	ENSG00000174123	4	3.48E-09	1.015	0	3	0	0	0	0	19	17	6	8
ZNF302	ZNF302	ENSG00000089335	19	0.00019368	1.015	4	3	0	0	0	0	8	18	7	6
ZNF441	ZNF441	ENSG00000197044	19	0.3624	1.015	3	0	0	0	1	5	9	9	3	7
ABT1	ABT1	ENSG00000146109	6	0.020296	1.015	0	3	0	0	5	3	6	9	5	12
C2orf82	SNORC	ENSG00000182600	2	0.60161	1.016	0	0	0	0	0	0	0	0	0	0
MED27	MED27	ENSG00000160563	9	1.77E-05	1.016	0	0	0	0	1	3	4	10	4	6
TRDN	TRDN	ENSG00000186439	6	8.36E-22	1.016	1	0	0	0	0	0	1	10	3	0
ANXA4	ANXA4	ENSG00000196975	2	1.19E-08	1.016	1	1	0	0	0	0	6	11	3	8
C1orf198	C1orf198	ENSG00000119280	1	0.00062943	1.016	0	2	0	0	1	0	3	7	0	2
INHA	INHA	ENSG00000123999	2	0.0064728	1.016	1	1	0	0	0	0	11	15	6	9
EDN2	EDN2	ENSG00000127129	1	0.060323	1.016	0	0	0	0	0	0	3	4	2	2
PARD6A	PARD6A	ENSG00000102981	16	0.0064719	1.016	0	0	1	3	3	6	4	11	2	5
DBR1	DBR1	ENSG00000138231	3	1.18E-08	1.016	2	0	0	0	0	2	5	17	5	3
C7orf31	C7orf31	ENSG00000153790	7	8.05E-11	1.016	1	1	0	0	0	0	5	13	5	8
KRT75	KRT75	ENSG00000170454	12	4.04E-08	1.016	0	3	0	0	0	0	14	23	8	10
RP11-155D18.14	AC115284.1	ENSG00000272762	3	0.16311	1.016	0	0	0	0	0	0	0	0	0	0
HYAL1	HYAL1	ENSG00000114378	3	0.00019112	1.017	1	3	0	0	0	0	14	20	6	9
KIAA0101	PCLAF	ENSG00000166803	15	0.16276	1.017	0	0	0	0	0	3	0	1	1	1
APOBEC3H	APOBEC3H	ENSG00000100298	22	0.00202	1.017	0	0	0	0	1	0	3	13	1	4
ENTPD4	ENTPD4	ENSG00000197217	8	1.81E-16	1.017	2	3	0	0	0	0	13	29	7	20
TM2D2	TM2D2	ENSG00000169490	8	0.0064454	1.017	3	2	1	1	0	0	2	4	3	4
TM7SF2	TM7SF2	ENSG00000149809	11	1.37E-07	1.017	2	4	0	0	6	11	4	17	14	4
NLRP7	NLRP7	ENSG00000167634	19	1.81E-16	1.017	2	1	0	0	0	1	26	36	10	20
BOK	BOK	ENSG00000176720	2	0.16279	1.017	0	0	0	0	0	0	1	4	0	0
CORO7	CORO7	ENSG00000262246	16	1.83E-25	1.017	0	3	0	0	0	0	6	12	3	5
HLA-C	HLA-C	ENSG00000204525	6	1.57E-06	1.017	0	0	0	0	1	2	1	4	1	0
PGP	PGP	ENSG00000184207	16	0.16263	1.017	0	0	0	0	0	0	0	1	0	1
TCHP	TCHP	ENSG00000139437	12	1.80E-16	1.017	0	2	0	0	0	0	10	14	0	8
MICU3	MICU3	ENSG00000155970	8	3.40E-09	1.017	0	0	0	0	0	0	4	9	0	5
SEPN1	SELENON	ENSG00000162430	1	9.79E-10	1.017	1	1	0	0	0	1	11	29	8	13
C4orf47	C4orf47	ENSG00000205129	4	0.00062148	1.018	0	0	0	0	0	0	0	0	0	0
NFATC2IP	NFATC2IP	ENSG00000176953	16	1.74E-05	1.018	0	1	0	0	1	3	8	19	1	7
ZMAT3	ZMAT3	ENSG00000172667	3	0.00019034	1.018	0	0	0	0	1	1	7	14	1	6
RALB	RALB	ENSG00000144118	2	0.020067	1.018	0	2	1	0	0	3	0	2	3	4
CNGB3	CNGB3	ENSG00000170289	8	7.77E-19	1.018	1	3	0	0	0	0	17	28	6	15
HP	HP	ENSG00000257017	16	1.74E-05	1.018	1	2	0	0	0	0	8	8	3	7
CEP78	CEP78	ENSG00000148019	9	6.17E-12	1.018	0	0	0	0	0	0	8	18	3	2
SSH3	SSH3	ENSG00000172830	11	3.47E-14	1.018	2	0	0	0	0	0	23	31	6	19
RP11-796G6.2	LINC00239	ENSG00000258512	14	0.36123	1.018	0	0	0	0	0	0	0	0	0	0
TEX40	CATSPERZ	ENSG00000219435	11	0.020057	1.018	0	0	0	0	0	1	0	2	0	0
SYT12	SYT12	ENSG00000173227	11	1.74E-05	1.018	0	2	0	0	0	0	3	24	3	8
ZNF461	ZNF461	ENSG00000197808	19	3.96E-08	1.018	0	1	0	0	0	0	6	26	8	5
WBP4	WBP4	ENSG00000120688	13	3.98E-08	1.018	0	0	0	0	0	0	3	4	1	2
PDE6D	PDE6D	ENSG00000156973	2	0.006423	1.018	1	0	1	5	0	1	0	0	2	2
ARHGEF16	ARHGEF16	ENSG00000130762	1	4.71E-13	1.018	0	0	0	0	0	1	3	4	1	13
ZNF771	ZNF771	ENSG00000179965	16	0.05992	1.018	0	0	0	0	0	0	1	2	0	0
CSAD	CSAD	ENSG00000139631	12	6.08E-12	1.019	1	0	0	0	0	0	11	20	2	11
CAMLG	CAMLG	ENSG00000164615	5	0.00061836	1.019	0	1	0	0	6	7	5	11	2	7
CAPN8	CAPN8	ENSG00000203697	1	1.25E-13	1.019	0	0	0	0	0	0	0	0	0	0
APOBEC3F	APOBEC3F	ENSG00000128394	22	1.35E-07	1.019	3	5	0	0	1	7	4	5	3	13
HPS3	HPS3	ENSG00000163755	3	2.94E-21	1.019	1	8	0	0	0	0	18	23	8	13
WBSCR27	METTL27	ENSG00000165171	7	0.059768	1.019	1	1	0	0	0	0	2	4	1	2
CCDC57	CCDC57	ENSG00000176155	17	6.50E-16	1.019	0	4	0	0	0	0	9	27	2	18
RHOJ	RHOJ	ENSG00000126785	14	0.0064012	1.019	2	2	0	0	0	0	6	11	3	6
FAM110A	FAM110A	ENSG00000125898	20	0.36091	1.019	0	0	0	1	1	3	0	1	1	3
SLC35B1	SLC35B1	ENSG00000121073	17	1.73E-05	1.019	0	0	0	0	1	4	2	6	5	5
HOXB4	HOXB4	ENSG00000182742	17	0.059777	1.019	0	2	0	1	0	4	4	1	2	2
PODN	PODN	ENSG00000174348	1	9.57E-10	1.019	1	1	0	0	4	9	2	3	4	16
C3orf38	C3orf38	ENSG00000179021	3	0.00061331	1.02	1	1	0	0	0	0	5	15	2	3
CMTM8	CMTM8	ENSG00000170293	3	0.059614	1.02	0	0	0	0	0	0	2	5	1	4
AIF1L	AIF1L	ENSG00000126878	9	0.0063739	1.02	0	1	0	0	0	2	3	5	1	1
ZCCHC10	ZCCHC10	ENSG00000155329	5	0.059669	1.02	0	0	0	0	0	0	3	6	0	1
VKORC1	VKORC1	ENSG00000167397	16	0.16163	1.02	2	0	0	0	0	2	3	2	1	0
COG6	COG6	ENSG00000133103	13	6.36E-16	1.02	2	2	0	0	0	0	20	29	7	6
JUN	JUN	ENSG00000177606	1	0.05962	1.02	0	0	2	2	5	3	2	1	3	6
MATN4	MATN4	ENSG00000124159	20	1.13E-08	1.02	0	1	0	0	6	12	2	4	8	8
GPALPP1	GPALPP1	ENSG00000133114	13	1.72E-05	1.02	0	0	0	0	0	0	3	5	2	5
NPY5R	NPY5R	ENSG00000164129	4	0.0063686	1.02	0	0	0	0	0	0	8	14	3	9
SNAPC3	SNAPC3	ENSG00000164975	9	4.55E-07	1.02	1	0	0	0	0	0	1	13	2	4
TREH	TREH	ENSG00000118094	11	8.96E-15	1.02	2	0	0	0	0	0	4	7	3	4
MAP3K19	MAP3K19	ENSG00000176601	2	1.76E-22	1.02	2	1	0	0	0	0	26	44	13	13
CALB2	CALB2	ENSG00000172137	16	4.54E-07	1.02	1	2	0	0	0	0	8	16	1	5
CREB3L4	CREB3L4	ENSG00000143578	1	5.14E-06	1.02	1	1	0	0	0	0	11	14	4	5
PCDHAC1	PCDHAC1	ENSG00000248383	5	7.57E-11	1.02	2	0	0	0	1	1	16	33	11	12
COA7	COA7	ENSG00000162377	1	0.059686	1.02	0	0	0	0	0	0	2	7	0	0
HAUS8	HAUS8	ENSG00000131351	19	1.52E-06	1.021	1	2	0	0	0	0	4	12	6	11
CDK7	CDK7	ENSG00000134058	5	4.47E-07	1.021	1	2	0	0	1	4	1	2	0	3
DYNLRB1	DYNLRB1	ENSG00000125971	20	0.16147	1.021	0	0	0	0	3	0	0	1	0	0
